type,baked_id,clientX,clientY,x,y,duration,at,maxscroll,text,target,pageview_screenWidth,pageview_screenHeight,pageview_width,pageview_height,pageview_duration,pageview_startedAt,pageview_clientStartedAt,assumed_page_index,question_assumed_page_index,event_index,accurate_timestamp,page_name,page_timestamp
move,0.0,921.0,277.0,921.0,277.0,256.0,2192,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,0,2192,page_1,0
move,1.0,936.0,280.0,936.0,280.0,256.0,2192,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,1,2198,page_1,0
move,2.0,961.0,285.0,961.0,285.0,256.0,2192,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,2,2219,page_1,0
move,3.0,991.0,289.0,991.0,289.0,256.0,2192,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,3,2238,page_1,0
move,4.0,999.0,290.0,999.0,290.0,256.0,2192,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,4,2248,page_1,0
move,5.0,1003.0,291.0,1003.0,291.0,256.0,2192,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,5,2281,page_1,0
move,6.0,1003.0,291.0,1003.0,291.0,256.0,2192,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,6,2310,page_1,0
move,7.0,1007.0,291.0,1007.0,291.0,256.0,2192,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,7,2314,page_1,0
move,8.0,1015.0,293.0,1015.0,293.0,256.0,2192,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,8,2355,page_1,0
move,9.0,1021.0,294.0,1021.0,294.0,256.0,2192,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,9,2368,page_1,0
move,10.0,1037.0,297.0,1037.0,297.0,256.0,2192,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,10,2423,page_1,0
move,11.0,1039.0,298.0,1039.0,298.0,256.0,2192,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,11,2433,page_1,0
move,12.0,1043.0,299.0,1043.0,299.0,256.0,2192,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,12,2448,page_1,0
move,0.0,1063.0,303.0,1063.0,303.0,0.0,2627,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,13,2627,page_1,0
move,0.0,889.0,337.0,889.0,337.0,0.0,11781,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,14,11781,page_1,0
move,0.0,937.0,332.0,937.0,332.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,15,11800,page_1,0
move,1.0,974.0,329.0,974.0,329.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,16,11821,page_1,0
move,2.0,988.0,327.0,988.0,327.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,17,11839,page_1,0
move,3.0,994.0,327.0,994.0,327.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,18,11851,page_1,0
move,4.0,997.0,327.0,997.0,327.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,19,11868,page_1,0
move,5.0,998.0,327.0,998.0,327.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,20,11880,page_1,0
move,6.0,999.0,327.0,999.0,327.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,21,11896,page_1,0
move,7.0,1003.0,327.0,1003.0,327.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,22,11916,page_1,0
move,8.0,1008.0,327.0,1008.0,327.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,23,11936,page_1,0
move,9.0,1015.0,329.0,1015.0,329.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,24,11949,page_1,0
move,10.0,1023.0,332.0,1023.0,332.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,25,11969,page_1,0
move,11.0,1026.0,333.0,1026.0,333.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,26,11985,page_1,0
move,12.0,1027.0,334.0,1027.0,334.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,27,12000,page_1,0
move,13.0,1029.0,335.0,1029.0,335.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,28,12013,page_1,0
move,14.0,1031.0,337.0,1031.0,337.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,29,12030,page_1,0
move,15.0,1034.0,339.0,1034.0,339.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,30,12046,page_1,0
move,16.0,1037.0,341.0,1037.0,341.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,31,12067,page_1,0
move,17.0,1038.0,343.0,1038.0,343.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,32,12081,page_1,0
move,18.0,1039.0,343.0,1039.0,343.0,818.0,11800,,,,1280,720,1280,587,1223623,1706186674254,1706186672030,0,0,33,12107,page_1,0
