type,baked_id,clientX,clientY,x,y,duration,at,maxscroll,text,target,pageview_screenWidth,pageview_screenHeight,pageview_width,pageview_height,pageview_duration,pageview_startedAt,pageview_clientStartedAt,assumed_page_index,question_assumed_page_index,event_index,accurate_timestamp,page_name,page_timestamp
move,0.0,714.0,368.0,714.0,368.0,0.0,5155,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,0,5155,page_1,0
move,0.0,747.0,391.0,747.0,391.0,0.0,5182,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,1,5182,page_1,0
move,0.0,776.0,411.0,776.0,411.0,32.0,5221,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,2,5221,page_1,0
move,1.0,794.0,425.0,794.0,425.0,32.0,5221,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,3,5253,page_1,0
move,0.0,800.0,436.0,800.0,436.0,366.0,5274,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,4,5274,page_1,0
move,1.0,802.0,440.0,802.0,440.0,366.0,5274,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,5,5308,page_1,0
move,2.0,802.0,442.0,802.0,442.0,366.0,5274,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,6,5406,page_1,0
move,3.0,802.0,443.0,802.0,443.0,366.0,5274,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,7,5440,page_1,0
move,4.0,801.0,442.0,801.0,442.0,366.0,5274,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,8,5576,page_1,0
move,5.0,801.0,440.0,801.0,440.0,366.0,5274,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,9,5606,page_1,0
move,6.0,801.0,437.0,801.0,437.0,366.0,5274,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,10,5640,page_1,0
move,0.0,816.0,426.0,816.0,426.0,101.0,5672,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,11,5672,page_1,0
move,1.0,826.0,419.0,826.0,419.0,101.0,5672,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,12,5713,page_1,0
move,2.0,830.0,411.0,830.0,411.0,101.0,5672,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,13,5740,page_1,0
move,3.0,833.0,407.0,833.0,407.0,101.0,5672,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,14,5773,page_1,0
move,0.0,835.0,393.0,835.0,393.0,292.0,5817,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,15,5817,page_1,0
move,1.0,837.0,388.0,837.0,388.0,292.0,5817,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,16,5839,page_1,0
move,2.0,837.0,385.0,837.0,385.0,292.0,5817,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,17,5878,page_1,0
move,3.0,835.0,382.0,835.0,382.0,292.0,5817,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,18,5907,page_1,0
move,4.0,833.0,381.0,833.0,381.0,292.0,5817,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,19,5945,page_1,0
move,5.0,833.0,382.0,833.0,382.0,292.0,5817,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,20,6007,page_1,0
move,6.0,836.0,385.0,836.0,385.0,292.0,5817,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,21,6040,page_1,0
move,7.0,842.0,391.0,842.0,391.0,292.0,5817,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,22,6073,page_1,0
move,8.0,847.0,396.0,847.0,396.0,292.0,5817,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,23,6109,page_1,0
move,0.0,850.0,399.0,850.0,399.0,0.0,6155,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,24,6155,page_1,0
move,0.0,855.0,404.0,855.0,404.0,67.0,6173,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,25,6173,page_1,0
move,1.0,865.0,414.0,865.0,414.0,67.0,6173,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,26,6207,page_1,0
move,2.0,874.0,425.0,874.0,425.0,67.0,6173,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,27,6240,page_1,0
move,0.0,876.0,429.0,876.0,429.0,199.0,6274,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,28,6274,page_1,0
move,1.0,876.0,430.0,876.0,430.0,199.0,6274,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,29,6307,page_1,0
move,2.0,876.0,432.0,876.0,432.0,199.0,6274,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,30,6340,page_1,0
move,3.0,876.0,441.0,876.0,441.0,199.0,6274,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,31,6373,page_1,0
move,4.0,867.0,450.0,867.0,450.0,199.0,6274,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,32,6413,page_1,0
move,5.0,857.0,457.0,857.0,457.0,199.0,6274,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,33,6443,page_1,0
move,6.0,843.0,467.0,843.0,467.0,199.0,6274,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,34,6473,page_1,0
move,0.0,828.0,473.0,828.0,473.0,177.0,6507,,,,1536,864,1536,730,1357394,1710750264118,1710750264589,0,0,35,6507,page_1,0
