type,baked_id,clientX,clientY,x,y,duration,at,maxscroll,text,target,pageview_screenWidth,pageview_screenHeight,pageview_width,pageview_height,pageview_duration,pageview_startedAt,pageview_clientStartedAt,assumed_page_index,question_assumed_page_index,event_index,accurate_timestamp,page_name,page_timestamp
move,0.0,1102.0,341.0,1102.0,341.0,0.0,9038,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,0,9038,page_1,0
move,0.0,1009.0,361.0,1009.0,361.0,0.0,9069,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,1,9069,page_1,0
move,0.0,847.0,405.0,847.0,405.0,0.0,9102,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,2,9102,page_1,0
move,0.0,717.0,443.0,717.0,443.0,0.0,9152,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,3,9152,page_1,0
move,0.0,661.0,459.0,661.0,459.0,148.0,9162,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,4,9162,page_1,0
move,1.0,635.0,465.0,635.0,465.0,148.0,9162,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,5,9188,page_1,0
move,2.0,627.0,467.0,627.0,467.0,148.0,9162,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,6,9203,page_1,0
move,3.0,623.0,469.0,623.0,469.0,148.0,9162,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,7,9242,page_1,0
move,4.0,623.0,469.0,623.0,469.0,148.0,9162,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,8,9266,page_1,0
move,5.0,624.0,470.0,624.0,470.0,148.0,9162,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,9,9282,page_1,0
move,6.0,627.0,478.0,627.0,478.0,148.0,9162,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,10,9310,page_1,0
move,0.0,631.0,499.0,631.0,499.0,139.0,9358,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,11,9358,page_1,0
move,1.0,634.0,506.0,634.0,506.0,139.0,9358,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,12,9410,page_1,0
move,2.0,642.0,507.0,642.0,507.0,139.0,9358,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,13,9453,page_1,0
move,3.0,645.0,507.0,645.0,507.0,139.0,9358,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,14,9470,page_1,0
move,4.0,664.0,501.0,664.0,501.0,139.0,9358,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,15,9497,page_1,0
move,0.0,683.0,496.0,683.0,496.0,438.0,9527,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,16,9527,page_1,0
move,1.0,692.0,493.0,692.0,493.0,438.0,9527,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,17,9560,page_1,0
move,2.0,694.0,492.0,694.0,492.0,438.0,9527,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,18,9572,page_1,0
move,3.0,701.0,490.0,701.0,490.0,438.0,9527,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,19,9609,page_1,0
move,4.0,703.0,490.0,703.0,490.0,438.0,9527,,,,1440,900,1440,779,1305932,1706542561334,1706542558190,0,0,20,9633,page_1,0
