type,baked_id,clientX,clientY,x,y,duration,at,maxscroll,text,target,pageview_screenWidth,pageview_screenHeight,pageview_width,pageview_height,pageview_duration,pageview_startedAt,pageview_clientStartedAt,assumed_page_index,question_assumed_page_index,event_index,accurate_timestamp,page_name,page_timestamp
move,0.0,790.0,426.0,790.0,426.0,421.0,2947,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,0,2947,page_1,0
move,1.0,840.0,436.0,840.0,436.0,421.0,2947,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,1,3368,page_1,0
move,0.0,848.0,437.0,848.0,437.0,773.0,3442,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,2,3442,page_1,0
move,1.0,831.0,453.0,831.0,453.0,773.0,3442,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,3,4123,page_1,0
move,2.0,826.0,451.0,826.0,451.0,773.0,3442,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,4,4149,page_1,0
move,3.0,820.0,449.0,820.0,449.0,773.0,3442,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,5,4184,page_1,0
move,4.0,816.0,445.0,816.0,445.0,773.0,3442,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,6,4215,page_1,0
move,0.0,809.0,441.0,809.0,441.0,131.0,4249,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,7,4249,page_1,0
move,1.0,804.0,437.0,804.0,437.0,131.0,4249,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,8,4282,page_1,0
move,2.0,799.0,429.0,799.0,429.0,131.0,4249,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,9,4316,page_1,0
move,3.0,795.0,419.0,795.0,419.0,131.0,4249,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,10,4349,page_1,0
move,4.0,794.0,417.0,794.0,417.0,131.0,4249,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,11,4380,page_1,0
move,0.0,788.0,366.0,788.0,366.0,0.0,4422,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,12,4422,page_1,0
move,0.0,795.0,290.0,795.0,290.0,0.0,4465,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,13,4465,page_1,0
move,0.0,820.0,172.0,820.0,172.0,30.0,4524,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,14,4524,page_1,0
move,1.0,809.0,114.0,809.0,114.0,30.0,4524,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,15,4554,page_1,0
move,0.0,796.0,77.0,796.0,77.0,2557.0,4596,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,16,4596,page_1,0
move,1.0,795.0,76.0,795.0,76.0,2557.0,4596,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,17,4625,page_1,0
move,2.0,793.0,76.0,793.0,76.0,2557.0,4596,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,18,4646,page_1,0
move,3.0,789.0,76.0,789.0,76.0,2557.0,4596,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,19,4682,page_1,0
move,4.0,785.0,77.0,785.0,77.0,2557.0,4596,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,20,4712,page_1,0
move,5.0,776.0,77.0,776.0,77.0,2557.0,4596,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,21,4752,page_1,0
move,6.0,741.0,71.0,741.0,71.0,2557.0,4596,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,22,4779,page_1,0
move,7.0,694.0,71.0,694.0,71.0,2557.0,4596,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,23,4817,page_1,0
move,8.0,626.0,63.0,626.0,63.0,2557.0,4596,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,24,4853,page_1,0
move,9.0,596.0,57.0,596.0,57.0,2557.0,4596,,,,1541,766,1536,758,1197211,1706540503370,1706540483308,0,0,25,4882,page_1,0
