type,baked_id,clientX,clientY,x,y,duration,at,maxscroll,text,target,pageview_screenWidth,pageview_screenHeight,pageview_width,pageview_height,pageview_duration,pageview_startedAt,pageview_clientStartedAt,assumed_page_index,question_assumed_page_index,event_index,accurate_timestamp,page_name,page_timestamp
move,0.0,812.0,11.0,812.0,11.0,0.0,2432,,,,1280,720,1280,585,1126405,1710760039374,1710760039192,0,0,0,2432,page_1,0
move,0.0,812.0,68.0,812.0,68.0,13.0,2462,,,,1280,720,1280,585,1126405,1710760039374,1710760039192,0,0,1,2462,page_1,0
move,1.0,814.0,79.0,814.0,79.0,13.0,2462,,,,1280,720,1280,585,1126405,1710760039374,1710760039192,0,0,2,2475,page_1,0
move,0.0,830.0,119.0,830.0,119.0,0.0,2521,,,,1280,720,1280,585,1126405,1710760039374,1710760039192,0,0,3,2521,page_1,0
move,0.0,837.0,138.0,837.0,138.0,40.0,2554,,,,1280,720,1280,585,1126405,1710760039374,1710760039192,0,0,4,2554,page_1,0
move,1.0,839.0,144.0,839.0,144.0,40.0,2554,,,,1280,720,1280,585,1126405,1710760039374,1710760039192,0,0,5,2594,page_1,0
move,0.0,734.0,93.0,734.0,93.0,0.0,10583,,,,1280,720,1280,585,1126405,1710760039374,1710760039192,0,0,6,10583,page_1,0
move,0.0,486.0,0.0,486.0,0.0,11575.0,10619,,,,1280,720,1280,585,1126405,1710760039374,1710760039192,0,0,7,10619,page_1,0
move,1.0,628.0,19.0,628.0,19.0,11575.0,10619,,,,1280,720,1280,585,1126405,1710760039374,1710760039192,0,0,8,22194,page_1,0
move,0.0,648.0,126.0,648.0,126.0,0.0,22226,,,,1280,720,1280,585,1126405,1710760039374,1710760039192,0,0,9,22226,page_1,0
move,0.0,655.0,169.0,655.0,169.0,0.0,22263,,,,1280,720,1280,585,1126405,1710760039374,1710760039192,0,0,10,22263,page_1,0
move,0.0,655.0,192.0,655.0,192.0,5047.0,22294,,,,1280,720,1280,585,1126405,1710760039374,1710760039192,0,0,11,22294,page_1,0
