type,baked_id,clientX,clientY,x,y,duration,at,maxscroll,text,target,pageview_screenWidth,pageview_screenHeight,pageview_width,pageview_height,pageview_duration,pageview_startedAt,pageview_clientStartedAt,assumed_page_index,question_assumed_page_index,event_index,accurate_timestamp,page_name,page_timestamp
move,0.0,542.0,341.0,542.0,341.0,2366.0,1759,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,0,1759,page_1,0
move,1.0,542.0,341.0,542.0,341.0,2366.0,1759,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,1,4091,page_1,0
move,2.0,545.0,337.0,545.0,337.0,2366.0,1759,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,2,4107,page_1,0
move,3.0,552.0,329.0,552.0,329.0,2366.0,1759,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,3,4125,page_1,0
move,0.0,568.0,315.0,568.0,315.0,0.0,4141,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,4,4141,page_1,0
move,0.0,590.0,297.0,590.0,297.0,18.0,4157,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,5,4157,page_1,0
move,1.0,620.0,272.0,620.0,272.0,18.0,4157,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,6,4175,page_1,0
move,0.0,668.0,238.0,668.0,238.0,0.0,4190,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,7,4190,page_1,0
move,0.0,730.0,201.0,730.0,201.0,0.0,4208,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,8,4208,page_1,0
move,0.0,819.0,160.0,819.0,160.0,50.0,4224,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,9,4224,page_1,0
move,1.0,872.0,141.0,872.0,141.0,50.0,4224,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,10,4242,page_1,0
move,2.0,973.0,113.0,973.0,113.0,50.0,4224,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,11,4258,page_1,0
move,3.0,999.0,107.0,999.0,107.0,50.0,4224,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,12,4274,page_1,0
move,0.0,1057.0,100.0,1057.0,100.0,67.0,4291,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,13,4291,page_1,0
move,1.0,1092.0,100.0,1092.0,100.0,67.0,4291,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,14,4308,page_1,0
move,2.0,1116.0,100.0,1116.0,100.0,67.0,4291,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,15,4325,page_1,0
move,3.0,1127.0,100.0,1127.0,100.0,67.0,4291,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,16,4340,page_1,0
move,4.0,1139.0,103.0,1139.0,103.0,67.0,4291,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,17,4358,page_1,0
move,0.0,48.0,1.0,48.0,1.0,466.0,4375,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,18,4375,page_1,0
move,1.0,51.0,3.0,51.0,3.0,466.0,4375,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,19,4391,page_1,0
move,2.0,53.0,4.0,53.0,4.0,466.0,4375,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,20,4407,page_1,0
move,3.0,54.0,6.0,54.0,6.0,466.0,4375,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,21,4425,page_1,0
move,4.0,54.0,6.0,54.0,6.0,466.0,4375,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,22,4807,page_1,0
move,5.0,57.0,4.0,57.0,4.0,466.0,4375,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,23,4824,page_1,0
move,6.0,61.0,2.0,61.0,2.0,466.0,4375,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,24,4841,page_1,0
move,0.0,1162.0,103.0,1162.0,103.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,25,4857,page_1,0
move,1.0,1164.0,102.0,1164.0,102.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,26,4875,page_1,0
move,2.0,1166.0,101.0,1166.0,101.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,27,4891,page_1,0
move,3.0,1167.0,100.0,1167.0,100.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,28,4908,page_1,0
move,4.0,1168.0,100.0,1168.0,100.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,29,4925,page_1,0
move,5.0,1168.0,100.0,1168.0,100.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,30,4939,page_1,0
move,6.0,1168.0,100.0,1168.0,100.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,31,4958,page_1,0
move,7.0,1169.0,100.0,1169.0,100.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,32,4975,page_1,0
move,8.0,1169.0,100.0,1169.0,100.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,33,4990,page_1,0
move,9.0,1169.0,99.0,1169.0,99.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,34,5008,page_1,0
move,10.0,1170.0,99.0,1170.0,99.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,35,5025,page_1,0
move,11.0,1170.0,99.0,1170.0,99.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,36,5041,page_1,0
move,12.0,1170.0,99.0,1170.0,99.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,37,5057,page_1,0
move,13.0,1170.0,98.0,1170.0,98.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,38,5075,page_1,0
move,14.0,1170.0,98.0,1170.0,98.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,39,5141,page_1,0
move,15.0,1170.0,98.0,1170.0,98.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,40,5192,page_1,0
move,16.0,1170.0,98.0,1170.0,98.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,41,5240,page_1,0
move,17.0,1170.0,97.0,1170.0,97.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,42,5291,page_1,0
move,18.0,1170.0,97.0,1170.0,97.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,43,5358,page_1,0
move,19.0,1170.0,97.0,1170.0,97.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,44,5423,page_1,0
move,20.0,1170.0,97.0,1170.0,97.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,45,5757,page_1,0
move,21.0,1170.0,96.0,1170.0,96.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,46,5774,page_1,0
move,22.0,1167.0,94.0,1167.0,94.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,47,5790,page_1,0
move,23.0,1166.0,92.0,1166.0,92.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,48,5807,page_1,0
move,24.0,1164.0,89.0,1164.0,89.0,966.0,4857,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,49,5823,page_1,0
move,0.0,1161.0,85.0,1161.0,85.0,1633.0,5840,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,50,5840,page_1,0
move,1.0,1159.0,82.0,1159.0,82.0,1633.0,5840,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,51,5857,page_1,0
move,2.0,1156.0,79.0,1156.0,79.0,1633.0,5840,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,52,5873,page_1,0
move,3.0,1155.0,76.0,1155.0,76.0,1633.0,5840,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,53,5890,page_1,0
move,4.0,1152.0,72.0,1152.0,72.0,1633.0,5840,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,54,5942,page_1,0
move,5.0,1152.0,72.0,1152.0,72.0,1633.0,5840,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,55,5957,page_1,0
move,6.0,1151.0,71.0,1151.0,71.0,1633.0,5840,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,56,5974,page_1,0
move,7.0,1151.0,71.0,1151.0,71.0,1633.0,5840,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,57,5990,page_1,0
move,8.0,1151.0,70.0,1151.0,70.0,1633.0,5840,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,58,6007,page_1,0
move,9.0,1151.0,70.0,1151.0,70.0,1633.0,5840,,,,1440,900,1440,735,1406655,1710512739389,1710512738690,0,0,59,6024,page_1,0
