type,baked_id,clientX,clientY,x,y,duration,at,maxscroll,text,target,pageview_screenWidth,pageview_screenHeight,pageview_width,pageview_height,pageview_duration,pageview_startedAt,pageview_clientStartedAt,assumed_page_index,question_assumed_page_index,event_index,accurate_timestamp,page_name,page_timestamp
move,0.0,1528.0,145.0,1528.0,145.0,69.0,2211,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,0,2211,page_1,0
move,1.0,1535.0,127.0,1535.0,127.0,69.0,2211,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,1,2245,page_1,0
move,2.0,1535.0,123.0,1535.0,123.0,69.0,2211,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,2,2276,page_1,0
move,3.0,1535.0,122.0,1535.0,122.0,69.0,2211,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,3,2280,page_1,0
move,0.0,1466.0,156.0,1466.0,156.0,51.0,3145,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,4,3145,page_1,0
move,1.0,1351.0,192.0,1351.0,192.0,51.0,3145,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,5,3182,page_1,0
move,2.0,1167.0,229.0,1167.0,229.0,51.0,3145,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,6,3196,page_1,0
move,0.0,963.0,279.0,963.0,279.0,0.0,3231,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,7,3231,page_1,0
move,0.0,856.0,324.0,856.0,324.0,0.0,3264,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,8,3264,page_1,0
move,0.0,817.0,347.0,817.0,347.0,0.0,3295,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,9,3295,page_1,0
move,0.0,807.0,356.0,807.0,356.0,0.0,3331,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,10,3331,page_1,0
move,0.0,806.0,357.0,806.0,357.0,1315.0,3342,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,11,3342,page_1,0
move,1.0,806.0,359.0,806.0,359.0,1315.0,3342,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,12,4549,page_1,0
move,2.0,804.0,365.0,804.0,365.0,1315.0,3342,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,13,4631,page_1,0
move,3.0,796.0,375.0,796.0,375.0,1315.0,3342,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,14,4642,page_1,0
move,4.0,793.0,377.0,793.0,377.0,1315.0,3342,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,15,4657,page_1,0
move,0.0,788.0,382.0,788.0,382.0,0.0,4677,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,16,4677,page_1,0
move,0.0,773.0,392.0,773.0,392.0,188.0,4711,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,17,4711,page_1,0
move,1.0,768.0,395.0,768.0,395.0,188.0,4711,,,,1536,864,1536,695,1371034,1710757558251,1710757555798,0,0,18,4748,page_1,0
