type,baked_id,clientX,clientY,x,y,duration,at,maxscroll,text,target,pageview_screenWidth,pageview_screenHeight,pageview_width,pageview_height,pageview_duration,pageview_startedAt,pageview_clientStartedAt,assumed_page_index,question_assumed_page_index,event_index,accurate_timestamp,page_name,page_timestamp
move,0.0,432.0,347.0,432.0,347.0,0.0,1068,,,,1280,720,1272,606,1478835,1706518772511,1706518770225,0,0,0,1068,page_1,0
move,0.0,820.0,187.0,820.0,187.0,1187.0,1802,,,,1280,720,1272,606,1478835,1706518772511,1706518770225,0,0,1,1802,page_1,0
move,1.0,822.0,188.0,822.0,188.0,1187.0,1802,,,,1280,720,1272,606,1478835,1706518772511,1706518770225,0,0,2,1824,page_1,0
move,2.0,823.0,188.0,823.0,188.0,1187.0,1802,,,,1280,720,1272,606,1478835,1706518772511,1706518770225,0,0,3,1840,page_1,0
move,3.0,824.0,188.0,824.0,188.0,1187.0,1802,,,,1280,720,1272,606,1478835,1706518772511,1706518770225,0,0,4,1868,page_1,0
move,4.0,824.0,189.0,824.0,189.0,1187.0,1802,,,,1280,720,1272,606,1478835,1706518772511,1706518770225,0,0,5,2904,page_1,0
move,5.0,823.0,190.0,823.0,190.0,1187.0,1802,,,,1280,720,1272,606,1478835,1706518772511,1706518770225,0,0,6,2923,page_1,0
move,6.0,820.0,190.0,820.0,190.0,1187.0,1802,,,,1280,720,1272,606,1478835,1706518772511,1706518770225,0,0,7,2937,page_1,0
move,7.0,817.0,190.0,817.0,190.0,1187.0,1802,,,,1280,720,1272,606,1478835,1706518772511,1706518770225,0,0,8,2954,page_1,0
move,8.0,812.0,192.0,812.0,192.0,1187.0,1802,,,,1280,720,1272,606,1478835,1706518772511,1706518770225,0,0,9,2970,page_1,0
move,9.0,805.0,194.0,805.0,194.0,1187.0,1802,,,,1280,720,1272,606,1478835,1706518772511,1706518770225,0,0,10,2989,page_1,0
move,0.0,804.0,196.0,804.0,196.0,167.0,3003,,,,1280,720,1272,606,1478835,1706518772511,1706518770225,0,0,11,3003,page_1,0
move,1.0,792.0,202.0,792.0,202.0,167.0,3003,,,,1280,720,1272,606,1478835,1706518772511,1706518770225,0,0,12,3020,page_1,0
move,2.0,784.0,206.0,784.0,206.0,167.0,3003,,,,1280,720,1272,606,1478835,1706518772511,1706518770225,0,0,13,3037,page_1,0
move,3.0,772.0,215.0,772.0,215.0,167.0,3003,,,,1280,720,1272,606,1478835,1706518772511,1706518770225,0,0,14,3053,page_1,0
move,4.0,765.0,218.0,765.0,218.0,167.0,3003,,,,1280,720,1272,606,1478835,1706518772511,1706518770225,0,0,15,3070,page_1,0
move,5.0,752.0,224.0,752.0,224.0,167.0,3003,,,,1280,720,1272,606,1478835,1706518772511,1706518770225,0,0,16,3087,page_1,0
