type,baked_id,clientX,clientY,x,y,duration,at,maxscroll,text,target,pageview_screenWidth,pageview_screenHeight,pageview_width,pageview_height,pageview_duration,pageview_startedAt,pageview_clientStartedAt,assumed_page_index,question_assumed_page_index,event_index,accurate_timestamp,page_name,page_timestamp
move,0.0,915.0,349.0,915.0,349.0,56.0,5672,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,0,5672,page_1,0
move,1.0,916.0,342.0,916.0,342.0,56.0,5672,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,1,5691,page_1,0
move,2.0,926.0,315.0,926.0,315.0,56.0,5672,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,2,5708,page_1,0
move,3.0,972.0,225.0,972.0,225.0,56.0,5672,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,3,5728,page_1,0
move,0.0,1055.0,103.0,1055.0,103.0,21.0,5744,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,4,5744,page_1,0
move,1.0,1112.0,33.0,1112.0,33.0,21.0,5744,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,5,5765,page_1,0
move,0.0,1614.0,3.0,1614.0,3.0,18.0,6112,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,6,6112,page_1,0
move,1.0,1615.0,22.0,1615.0,22.0,18.0,6112,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,7,6130,page_1,0
move,0.0,1616.0,30.0,1616.0,30.0,42.0,6149,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,8,6149,page_1,0
move,1.0,1616.0,36.0,1616.0,36.0,42.0,6149,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,9,6172,page_1,0
move,2.0,1616.0,38.0,1616.0,38.0,42.0,6149,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,10,6191,page_1,0
move,0.0,1611.0,42.0,1611.0,42.0,20.0,6208,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,11,6208,page_1,0
move,1.0,1608.0,42.0,1608.0,42.0,20.0,6208,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,12,6228,page_1,0
move,0.0,1581.0,43.0,1581.0,43.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,13,6264,page_1,0
move,1.0,1575.0,44.0,1575.0,44.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,14,6280,page_1,0
move,2.0,1567.0,45.0,1567.0,45.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,15,6297,page_1,0
move,3.0,1559.0,45.0,1559.0,45.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,16,6333,page_1,0
move,4.0,1554.0,47.0,1554.0,47.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,17,6373,page_1,0
move,5.0,1549.0,48.0,1549.0,48.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,18,6391,page_1,0
move,6.0,1547.0,49.0,1547.0,49.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,19,6411,page_1,0
move,7.0,1547.0,50.0,1547.0,50.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,20,6425,page_1,0
move,8.0,1546.0,50.0,1546.0,50.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,21,6447,page_1,0
move,9.0,1546.0,51.0,1546.0,51.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,22,6466,page_1,0
move,10.0,1546.0,51.0,1546.0,51.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,23,6483,page_1,0
move,11.0,1546.0,52.0,1546.0,52.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,24,6505,page_1,0
move,12.0,1546.0,53.0,1546.0,53.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,25,6520,page_1,0
move,13.0,1546.0,53.0,1546.0,53.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,26,6539,page_1,0
move,14.0,1546.0,54.0,1546.0,54.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,27,6558,page_1,0
move,15.0,1545.0,55.0,1545.0,55.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,28,6576,page_1,0
move,16.0,1545.0,56.0,1545.0,56.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,29,6595,page_1,0
move,17.0,1545.0,57.0,1545.0,57.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,30,6613,page_1,0
move,18.0,1544.0,57.0,1544.0,57.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,31,6631,page_1,0
move,19.0,1543.0,59.0,1543.0,59.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,32,6649,page_1,0
move,20.0,1542.0,61.0,1542.0,61.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,33,6668,page_1,0
move,21.0,1542.0,62.0,1542.0,62.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,34,6686,page_1,0
move,22.0,1541.0,63.0,1541.0,63.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,35,6709,page_1,0
move,23.0,1541.0,63.0,1541.0,63.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,36,6722,page_1,0
move,24.0,1541.0,63.0,1541.0,63.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,37,6744,page_1,0
move,25.0,1541.0,63.0,1541.0,63.0,3990.0,6264,,,,2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,38,6745,page_1,0
click,,1541.0,63.0,1541.0,63.0,,6825,,Read full text,"{'left': 1467.5390625, 'top': 43, 'width': 132.4609375, 'height': 44, 'clientLeft': 1467.5390625, 'clientTop': 43}",2240,1260,2240,1139,1420354,1707324787483,1707324787185,0,0,44,6825,page_1,0
