type,baked_id,clientX,clientY,x,y,duration,at,maxscroll,text,target,pageview_screenWidth,pageview_screenHeight,pageview_width,pageview_height,pageview_duration,pageview_startedAt,pageview_clientStartedAt,assumed_page_index,question_assumed_page_index,event_index,accurate_timestamp,page_name,page_timestamp
move,0.0,747.0,757.0,747.0,757.0,0.0,118267,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,0,0,0,118267,page_1,0
click,,747.0,757.0,747.0,757.0,,118283,,Next,"{'left': 669, 'top': 723.7999877929688, 'width': 198, 'height': 67.20000457763672, 'clientLeft': 669, 'clientTop': 723.7999877929688}",1536,864,1536,864,1262615,1710512309384,1710512309317,0,0,1,118283,page_1,0
move,0.0,1132.0,243.0,1132.0,243.0,0.0,121106,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,1,0,2,121106,page_2,118564
click,,1132.0,243.0,1132.0,243.0,,121108,,Agree strongly,"{'left': 1055.2000732421875, 'top': 202, 'width': 180.8000030517578, 'height': 48, 'clientLeft': 1055.2000732421875, 'clientTop': 202}",1536,864,1536,864,1262615,1710512309384,1710512309317,1,1,3,121108,page_2,118564
move,0.0,710.0,752.0,710.0,752.0,0.0,122691,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,1,1,4,122691,page_2,118564
click,,710.0,752.0,710.0,752.0,,122693,,Next,"{'left': 669, 'top': 723.7999877929688, 'width': 198, 'height': 67.20000457763672, 'clientLeft': 669, 'clientTop': 723.7999877929688}",1536,864,1536,864,1262615,1710512309384,1710512309317,1,1,5,122693,page_2,118564
move,0.0,1126.0,224.0,1126.0,224.0,0.0,125045,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,2,0,6,125045,page_3,122754
click,,1126.0,224.0,1126.0,224.0,,125046,,Agree strongly,"{'left': 1091.8375244140625, 'top': 214.8000030517578, 'width': 107.5250015258789, 'height': 21.600000381469727, 'clientLeft': 1091.8375244140625, 'clientTop': 214.8000030517578}",1536,864,1536,864,1262615,1710512309384,1710512309317,2,2,7,125046,page_3,122754
move,0.0,780.0,765.0,780.0,765.0,0.0,126358,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,2,2,8,126358,page_3,122754
click,,780.0,765.0,780.0,765.0,,126360,,Next,"{'left': 669, 'top': 723.7999877929688, 'width': 198, 'height': 67.20000457763672, 'clientLeft': 669, 'clientTop': 723.7999877929688}",1536,864,1536,864,1262615,1710512309384,1710512309317,2,2,9,126360,page_3,122754
move,0.0,395.0,244.0,395.0,244.0,0.0,128136,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,3,0,10,128136,page_4,126417
click,,395.0,244.0,395.0,244.0,,128138,,Disagree strongly,"{'left': 300, 'top': 202, 'width': 180.8000030517578, 'height': 48, 'clientLeft': 300, 'clientTop': 202}",1536,864,1536,864,1262615,1710512309384,1710512309317,3,3,11,128138,page_4,126417
move,0.0,728.0,748.0,728.0,748.0,0.0,128985,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,3,3,12,128985,page_4,126417
click,,728.0,748.0,728.0,748.0,,128986,,Next,"{'left': 669, 'top': 723.7999877929688, 'width': 198, 'height': 67.20000457763672, 'clientLeft': 669, 'clientTop': 723.7999877929688}",1536,864,1536,864,1262615,1710512309384,1710512309317,3,3,13,128986,page_4,126417
move,0.0,976.0,241.0,976.0,241.0,0.0,131208,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,4,0,14,131208,page_5,129026
click,,976.0,241.0,976.0,241.0,,131209,,Agree,"{'left': 866.4000244140625, 'top': 202, 'width': 180.8000030517578, 'height': 48, 'clientLeft': 866.4000244140625, 'clientTop': 202}",1536,864,1536,864,1262615,1710512309384,1710512309317,4,4,15,131209,page_5,129026
move,0.0,748.0,756.0,748.0,756.0,0.0,132421,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,4,4,16,132421,page_5,129026
click,,748.0,756.0,748.0,756.0,,132422,,Next,"{'left': 669, 'top': 723.7999877929688, 'width': 198, 'height': 67.20000457763672, 'clientLeft': 669, 'clientTop': 723.7999877929688}",1536,864,1536,864,1262615,1710512309384,1710512309317,4,4,17,132422,page_5,129026
move,0.0,524.0,222.0,524.0,222.0,0.0,135504,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,5,0,18,135504,page_6,132455
click,,524.0,222.0,524.0,222.0,,135509,,Disagree,"{'left': 488.8000183105469, 'top': 202, 'width': 180.8000030517578, 'height': 48, 'clientLeft': 488.8000183105469, 'clientTop': 202}",1536,864,1536,864,1262615,1710512309384,1710512309317,5,5,19,135509,page_6,132455
move,0.0,784.0,748.0,784.0,748.0,0.0,136240,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,5,5,20,136240,page_6,132455
click,,784.0,748.0,784.0,748.0,,136242,,Next,"{'left': 669, 'top': 723.7999877929688, 'width': 198, 'height': 67.20000457763672, 'clientLeft': 669, 'clientTop': 723.7999877929688}",1536,864,1536,864,1262615,1710512309384,1710512309317,5,5,21,136242,page_6,132455
move,0.0,911.0,231.0,911.0,231.0,0.0,140109,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,6,0,22,140109,page_7,136276
click,,911.0,231.0,911.0,231.0,,140111,,Agree,"{'left': 866.4000244140625, 'top': 202, 'width': 180.8000030517578, 'height': 48, 'clientLeft': 866.4000244140625, 'clientTop': 202}",1536,864,1536,864,1262615,1710512309384,1710512309317,6,6,23,140111,page_7,136276
move,0.0,728.0,738.0,728.0,738.0,0.0,140788,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,6,6,24,140788,page_7,136276
click,,728.0,738.0,728.0,738.0,,140789,,Next,"{'left': 669, 'top': 723.7999877929688, 'width': 198, 'height': 67.20000457763672, 'clientLeft': 669, 'clientTop': 723.7999877929688}",1536,864,1536,864,1262615,1710512309384,1710512309317,6,6,25,140789,page_7,136276
move,0.0,990.0,213.0,990.0,213.0,0.0,142454,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,7,0,26,142454,page_8,140818
click,,990.0,213.0,990.0,213.0,,142456,,Agree,"{'left': 866.4000244140625, 'top': 202, 'width': 180.8000030517578, 'height': 48, 'clientLeft': 866.4000244140625, 'clientTop': 202}",1536,864,1536,864,1262615,1710512309384,1710512309317,7,7,27,142456,page_8,140818
move,0.0,767.0,728.0,767.0,728.0,0.0,143203,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,7,7,28,143203,page_8,140818
click,,767.0,728.0,767.0,728.0,,143205,,Next,"{'left': 669, 'top': 723.7999877929688, 'width': 198, 'height': 67.20000457763672, 'clientLeft': 669, 'clientTop': 723.7999877929688}",1536,864,1536,864,1262615,1710512309384,1710512309317,7,7,29,143205,page_8,140818
move,0.0,404.0,248.0,404.0,248.0,0.0,144687,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,8,0,30,144687,page_9,143238
click,,404.0,248.0,404.0,248.0,,144688,,Disagree strongly,"{'left': 300, 'top': 202, 'width': 180.8000030517578, 'height': 48, 'clientLeft': 300, 'clientTop': 202}",1536,864,1536,864,1262615,1710512309384,1710512309317,8,8,31,144688,page_9,143238
move,0.0,776.0,746.0,776.0,746.0,0.0,145366,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,8,8,32,145366,page_9,143238
click,,776.0,746.0,776.0,746.0,,145367,,Next,"{'left': 669, 'top': 723.7999877929688, 'width': 198, 'height': 67.20000457763672, 'clientLeft': 669, 'clientTop': 723.7999877929688}",1536,864,1536,864,1262615,1710512309384,1710512309317,8,8,33,145367,page_9,143238
move,0.0,960.0,228.0,960.0,228.0,0.0,147617,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,9,0,34,147617,page_10,145399
click,,960.0,228.0,960.0,228.0,,147619,,Agree,"{'left': 935.1375122070312, 'top': 214.8000030517578, 'width': 43.3125, 'height': 21.600000381469727, 'clientLeft': 935.1375122070312, 'clientTop': 214.8000030517578}",1536,864,1536,864,1262615,1710512309384,1710512309317,9,9,35,147619,page_10,145399
move,0.0,748.0,728.0,748.0,728.0,0.0,148366,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,9,9,36,148366,page_10,145399
click,,748.0,728.0,748.0,728.0,,148368,,Next,"{'left': 669, 'top': 723.7999877929688, 'width': 198, 'height': 67.20000457763672, 'clientLeft': 669, 'clientTop': 723.7999877929688}",1536,864,1536,864,1262615,1710512309384,1710512309317,9,9,37,148368,page_10,145399
move,0.0,1108.0,220.0,1108.0,220.0,0.0,150781,,,,1536,864,1536,864,1262615,1710512309384,1710512309317,10,0,38,150781,page_11,148405
click,,1108.0,220.0,1108.0,220.0,,150782,,Agree strongly,"{'left': 1091.8375244140625, 'top': 214.8000030517578, 'width': 107.5250015258789, 'height': 21.600000381469727, 'clientLeft': 1091.8375244140625, 'clientTop': 214.8000030517578}",1536,864,1536,864,1262615,1710512309384,1710512309317,10,10,39,150782,page_11,148405
